,arrive_time,canWebBuy,control_day,control_train_day,controlled_train_flag,controlled_train_message,day_difference,end_city_code,end_province_code,end_station_name,end_station_telecode,from_station_name,from_station_no,from_station_telecode,gg_num,gr_num,is_support_card,lishi,lishiValue,location_code,note,qt_num,rw_num,rz_num,sale_time,seat_feature,seat_types,start_city_code,start_province_code,start_station_name,start_station_telecode,start_time,start_train_date,station_train_code,swz_num,to_station_name,to_station_no,to_station_telecode,train_class_name,train_no,train_seat_feature,train_type_code,tz_num,wz_num,yb_num,yp_ex,yp_info,yw_num,yz_num,ze_num,zy_num
0,05:31,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海南,14,SNH,--,--,0,01:17,77,G1,,--,11,--,1530,W3431333,1413,1004,10,福州,FZS,04:14,20161228,K526,--,苏州,15,SZH,,580000K52606,3,2,--,322,--,10401030,2qI5iP6NO089WO62KUeJ%2BOiyKm6%2BaZ0u1opzaz%2B%2FD2X6GOqUeagEnEnyb7c%3D,91,528,--,--
1,05:38,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海南,20,SNH,--,--,0,01:09,69,Q7,,--,无,--,1530,W3431333,1413,1502,16,广州,GZQ,04:29,20161228,K528,--,苏州,21,SZH,,630000K5280K,3,2,--,无,--,10401030,6s9zFoD6kTaytQpR%2BkVYUX6a4yJjArgq6r1eHRBin3zT6ToY%2B77Ruee2u6E%3D,16,297,--,--
2,06:41,Y,29,20300303,0,正常车次，不受控,0,1707,19,成都东,ICW,上海虹桥,01,AOH,--,--,1,00:32,32,H2,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,06:09,20161229,D636,--,苏州,02,SZH,动车,5l0000D63630,3,2,--,无,--,O0M0O0,3ITKsHRdd1Vvv%2B24ttkd2N2ef141zQ1XEBNOVo%2FoOoLVwbmg,--,--,76,11
3,06:40,Y,29,20300303,0,正常车次，不受控,0,2003,23,西安北,EAY,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,06:17,20161229,G1912,23,苏州北,02,OHH,,5l000G191200,3,2,--,--,--,O0M090,MLRRkOrwXno5PHoT6uzVH%2FnR6nvkqEHpEyYDtkLGTpMQBQ0y,--,--,707,160
4,06:50,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:32,32,H3,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,06:18,20161229,G7032,--,苏州,03,SZH,,55000G703240,3,3,--,无,--,O0M0O0,Zc2%2F1Wjq0nyvZ98MjpyK1AaUTXDFEIl%2BoRrdoWKb%2BhA2R3L7,--,--,523,50
5,06:45,Y,29,20300303,0,正常车次，不受控,0,1222,13,郑州东,ZAF,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,06:22,20161229,G1802,无,苏州北,02,OHH,,5l000G180200,3,2,--,--,--,O0M090,b088%2Fwy0E6WoKauTDpKCY3pmBN3OzlnC%2FZOPFUf0DjnuIKC6,--,--,448,17
6,06:55,Y,29,20300303,0,正常车次，不受控,0,0816,09,安庆,AQH,上海,01,SHH,--,--,1,00:32,32,H1,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,06:23,20161229,G7076,--,苏州,03,SZH,,55000G7076A0,3,3,--,无,--,O0M0O0,717aS1oRRTCmdbtvn0jDhTkim2c%2FJZdz4cUVxPLL74H3lUqo,--,--,63,3
7,07:16,Y,29,20300303,0,正常车次，不受控,0,1707,19,成都东,ICW,上海虹桥,01,AOH,--,--,1,00:38,38,H2,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,06:38,20161229,D2206,--,苏州,03,SZH,动车,5l000D220651,3,2,--,无,--,O0M0O0,0fTxtqFYwbzqMmgL0W30PfaZaWVOjuGoADKocKV00a1Yc5Sj,--,--,368,35
8,07:02,Y,29,20300303,0,正常车次，不受控,0,0357,31,北京南,VNP,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,06:39,20161229,G102,无,苏州北,02,OHH,,5l0000G10261,3,2,--,--,--,O0M090,AlGcXWgyP9R%2BiPoA7CNfY3PDkARve2AQopk71dCn9uYkNefx,--,--,143,49
9,07:34,Y,29,20300303,0,正常车次，不受控,0,1307,14,宜昌东,HAN,上海虹桥,01,AOH,--,--,1,00:44,44,H3,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,06:50,20161229,D3072,--,苏州,03,SZH,动车,5l000D307230,3,2,--,无,--,O0M0O0,%2BisSGLeTQcE39KenRb%2BYmTQfI%2F33FtqdneEmrOSlFcvFRGy3,--,--,247,63
10,07:25,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:25,25,H3,,--,--,--,1430,O3W3M3P3,OMOP,0712,33,上海,SHH,07:00,20161229,G7002,--,苏州,02,SZH,,55000G700261,3,3,24,无,--,O0M0O0P0,KgdIySy4SHbJYqrVyeQt%2FnJjHkGFU7S%2BtqCnZAJD0S5esdK0rfVpUYN%2FAFs%3D,--,--,988,64
11,07:39,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:34,34,H3,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,07:05,20161229,G7034,--,苏州,03,SZH,,55000G703450,3,3,--,无,--,O0M0O0,3pIdc6uxLTjssub3JfiZIMf5dNpR6yj0FyVpnmdWRbI0EwQs,--,--,530,50
12,07:33,Y,29,20300303,0,正常车次，不受控,0,0357,31,北京南,VNP,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,07:10,20161229,G106,15,苏州北,02,OHH,,5l0000G10651,3,2,--,--,--,O0M090,%2FM6MQQCPBCLRkWsqI4LWS1f1fHAWkYObwJmv9ZX9OcCBCbzJ,--,--,344,28
13,07:39,Y,29,20300303,0,正常车次，不受控,0,2003,23,西安北,EAY,上海虹桥,01,AOH,--,--,1,00:24,24,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,07:15,20161229,G1916,25,苏州北,02,OHH,,5l000G191600,3,2,--,--,--,O0M090,mlUTq1qGpQtaX%2Fdv8%2F6eEyab40ZkBy1zbNpINA0i8CvFlt76,--,--,666,167
14,07:50,Y,29,20300303,0,正常车次，不受控,0,1314,14,汉口,HKN,上海虹桥,01,AOH,--,--,1,00:35,35,H2,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,07:15,20161229,D3056,--,苏州,03,SZH,动车,5l000D305630,3,2,--,84,--,O0M0O0,gF8lgiCf1A%2BBawT59IOjglqQRFEpyDGveGe2D4TYIwHRNTzX,--,--,47,1
15,08:00,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海虹桥,01,AOH,--,--,1,00:40,40,H3,,--,--,--,1330,O393M3W3,O9OM,0712,33,上海虹桥,AOH,07:20,20161229,G7102,10,苏州,04,SZH,,5l000G710240,3,3,--,无,--,O090O0M0,5KEUAvRwWlP4dIVj9RvMYgjRgxceFkApEDDQvdX34KZvh2PgTVZj%2FGkTV9U%3D,--,--,467,28
16,07:53,Y,29,20300303,0,正常车次，不受控,0,0357,31,北京南,VNP,上海虹桥,01,AOH,--,--,1,00:25,25,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,07:28,20161229,G110,12,苏州北,02,OHH,,5l0000G11091,3,2,--,--,--,O0M090,pJO7NnqEcnf%2BKJccg%2BPnbOz4Gbp2xgwnzdV0sQn%2BRZ9eLzth,--,--,278,45
17,08:08,Y,29,20300303,0,正常车次，不受控,0,1717,34,重庆北,CUW,上海虹桥,01,AOH,--,--,1,00:38,38,H1,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,07:30,20161229,D2212,--,苏州,03,SZH,动车,5l000D221221,3,2,--,无,--,O0M0O0,Fy0m5FIPons0Ml%2B06uTrTqm3x1RSGuouocyJHGBIdDjDjZmB,--,--,99,17
18,08:14,Y,29,20300303,0,正常车次，不受控,0,0816,09,安庆,AQH,上海,01,SHH,--,--,1,00:31,31,H1,,--,--,--,1430,O393M3W3,O9OM,0712,33,上海,SHH,07:43,20161229,G7080,12,苏州园区,03,KAH,,55000G708090,3,3,--,无,--,O090O0M0,8y2UHlA2YzfFrISQTihQkx66yGWmqHK%2BKwNTmiDFVCp30uNyxumnDEoiCTk%3D,--,--,17,28
19,08:33,Y,29,20300303,0,正常车次，不受控,0,0210,04,丹东,DUT,上海虹桥,01,AOH,--,--,1,00:44,44,H2,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,07:49,20161229,G1232,1,苏州北,03,OHH,,5l000G123280,3,2,--,--,--,O0M090,BPqWk0Sv%2F6vwDjNwqBhzMk%2BMc6ZUGQeE1a4RQS7T40Lo1a%2F%2F,--,--,18,2
20,08:25,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:25,25,H3,,--,--,--,1430,O3W3M3P3,OMOP,0712,33,上海,SHH,08:00,20161229,G7004,--,苏州,02,SZH,,55000G700482,3,3,15,无,--,O0M0O0P0,Ars3ebVayv%2FCTY3bAZME6m2G9xT8aL3pqxw%2BgiyR4PJOmeA706IaInnP0CM%3D,--,--,960,32
21,08:28,Y,29,20300303,0,正常车次，不受控,0,0357,31,北京南,VNP,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,08:05,20161229,G112,3,苏州北,02,OHH,,5l0000G11291,3,2,--,--,--,O0M090,npmZ8nsccsOnmEXSf%2FE73hG03V99ktrwWjS4JOBkg0%2BjSg%2Bs,--,--,342,32
22,08:37,Y,29,20300303,0,正常车次，不受控,0,0805,09,淮南东,HOH,上海,01,SHH,--,--,1,00:32,32,H2,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,08:05,20161229,G7268,--,苏州,03,SZH,,55000G726830,3,3,--,无,--,O0M0O0,K2SmEQMEh6QQEISPKdd0m0gLlGbjyI%2Fqliql3qysAs%2BKt3Sg,--,--,318,95
23,08:42,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:32,32,H2,,--,--,--,1430,O393M3W3,O9OM,0712,33,上海,SHH,08:10,20161229,G7036,10,苏州,03,SZH,,55000G703670,3,3,--,无,--,O090O0M0,kpXoKMuSQrV3echMjaTKiFc8QDRuVy6ycfByuKEiAJ4lIz6ETG9Ut0JQmDs%3D,--,--,481,27
24,08:43,Y,29,20300303,0,正常车次，不受控,0,0357,31,北京南,VNP,上海虹桥,01,AOH,--,--,1,00:33,33,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,08:10,20161229,G114,2,苏州北,03,OHH,,5l0000G11441,3,2,--,--,--,O0M090,BmXh2%2F8IZlF7Q52Hp13VO1hbQzOH%2FVT%2FrjQpDyR3JN%2F84LUw,--,--,177,2
25,08:47,Y,29,20300303,0,正常车次，不受控,0,0819,09,六安,UAH,上海,01,SHH,--,--,1,00:32,32,H2,,--,--,--,1430,O393M3W3,O9OM,0712,33,上海,SHH,08:15,20161229,G7232,5,苏州,03,SZH,,55000G723280,3,3,--,无,--,O090O0M0,XOTPYcnuhS0KJQ%2FuYHkDtl51lYh5CO%2FgSoGqv%2FwlCuiJOOwGc8J2KKWMs5k%3D,--,--,65,1
26,08:39,Y,29,20300303,0,正常车次，不受控,0,0405,02,太原南,TNV,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,08:16,20161229,G1952,1,苏州北,02,OHH,,5l000G195200,3,2,--,--,--,O0M090,XdpSkZjP7POLPAKbHD%2BYZ5kghOWmOzKW1H%2BUHmB2byopcQda,--,--,385,8
27,08:54,Y,29,20300303,0,正常车次，不受控,0,1314,14,汉口,HKN,上海虹桥,01,AOH,--,--,1,00:34,34,H3,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,08:20,20161229,D3064,--,苏州,03,SZH,动车,5l000D306430,3,2,--,无,--,O0M0O0,JTzLT5gzdGbt3fCS0RyvlsZ7PAZ33UDhp%2BbCx5p1m3lTkCfg,--,--,48,16
28,08:48,Y,29,20300303,0,正常车次，不受控,0,1407,15,长沙南,CWQ,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,08:25,20161229,G576,6,苏州北,02,OHH,,5l0000G57640,3,2,--,--,--,O0M090,npkgW8a0xYIjOQbvGs0pQRnm52uaes59CcEyyml%2F7skj07kx,--,--,300,11
29,09:07,Y,29,20300303,0,正常车次，不受控,0,0710,07,苏州,SZH,上海,01,SHH,--,--,1,00:41,41,H1,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,08:26,20161229,G7206,--,苏州,04,SZH,,55000G720690,3,3,--,无,--,O0M0O0,D631NZCdEK3j32gJusUkpjbthAJFlTVK1%2FYlwIVY36p3XVYE,--,--,522,50
30,09:11,Y,29,20300303,0,正常车次，不受控,0,0816,09,安庆,AQH,上海,01,SHH,--,--,1,00:39,39,H1,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,08:32,20161229,G7084,--,苏州,04,SZH,,55000G708470,3,3,--,无,--,O0M0O0,I%2BREU6wXTDQ5X43vtAMawzEeMrJd2nApFaTRJR5ucFBVc%2FOF,--,--,79,15
31,08:55,Y,29,20300303,0,正常车次，不受控,0,1314,14,武汉,WHN,上海虹桥,01,AOH,--,--,1,00:23,23,H2,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,08:32,20161229,G676,无,苏州北,02,OHH,,5l0000G67630,3,2,--,--,--,O0M090,cB2tywUod5IFhEFGgiw3n%2Fp3KJm2XErDZ1hnQqnG8j8rqi3T,--,--,43,4
32,09:01,Y,29,20300303,0,正常车次，不受控,0,0359,32,天津西,TXP,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,08:38,20161229,G212,8,苏州北,02,OHH,,5l0000G21230,3,2,--,--,--,O0M090,wCa9G1BwatNQBxenT10RYBVTNjfoJTYuEEC%2BWA2Ka%2F5JHhiY,--,--,223,44
33,09:17,Y,29,20300303,0,正常车次，不受控,0,1717,34,重庆北,CUW,上海虹桥,01,AOH,--,--,1,00:38,38,H2,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,08:39,20161229,D2216,--,苏州,03,SZH,动车,5l000D221641,3,2,--,无,--,O0M0O0,kRDn%2BsS0Tq9wUNnDVEh8S1E1Nw%2BiHl9yOXmCkvY7X26TkLUR,--,--,108,6
34,09:55,Y,29,20300303,0,正常车次，不受控,0,1707,19,成都,CDW,上海,01,SHH,--,--,0,01:05,65,H2,,--,10,--,1430,W3431333,1413,0712,33,上海,SHH,08:50,20161229,K290,--,苏州,02,SZH,,550000K29056,3,2,--,无,--,10401030,AuOfkGhpIdNHdxJ34kcKepIZFNQpIw7XSMCvQyTgvV1fwt%2BOkwrOaDBZua8%3D,133,386,--,--
35,09:30,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海虹桥,01,AOH,--,--,1,00:36,36,H3,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,08:54,20161229,G7104,--,苏州,03,SZH,,5l000G710460,3,3,--,无,--,O0M0O0,nHN1ANnKCRP9N%2BvxgBT7K%2Fsv1ozUelLYjLnBKhgfCERKw3HL,--,--,499,20
36,09:17,Y,29,20170123,0,正常车次，不受控,0,1222,13,郑州东,ZAF,上海虹桥,09,AOH,--,--,1,00:23,23,H3,,--,--,--,0930,O3M393,OM9,0910,08,宁波,NGH,08:54,20161229,G1866,9,苏州北,10,OHH,,5e000G186600,3,2,--,--,--,O0M090,24A722XEjKANqY1z5iQis5Ebi56cC8bX5l42UMfRFmsRsNkH,--,--,896,43
37,10:02,Y,29,20300303,0,正常车次，不受控,0,2201,25,西宁,XNO,上海,01,SHH,--,--,0,01:06,66,H3,,--,15,--,1430,W3431333,1413,0712,33,上海,SHH,08:56,20161229,K376,--,苏州,03,SZH,,550000K37691,3,2,--,无,--,10401030,QYf%2BisoCSR7qUnC2nJhyls1bm6S3VZnGLlGj3wZxTLwGsS7aDhVuyHOD3Ss%3D,64,348,--,--
38,09:25,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:25,25,H2,,--,--,--,1430,O3W3M3P3,OMOP,0712,33,上海,SHH,09:00,20161229,G7006,--,苏州,02,SZH,,55000G700651,3,3,18,无,--,O0M0O0P0,xPXnkn0hSMTK6iETE60bHuQAupH7S%2BJ8Kq8v9tXdGgjwYDyoiohJ4UqQ8XY%3D,--,--,953,25
39,09:36,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:31,31,H3,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,09:05,20161229,G7038,--,苏州,03,SZH,,55000G703850,3,3,--,无,--,O0M0O0,Zc2%2F1Wjq0nyvZ98MjpyK1AaUTXDFEIl%2BoRrdoWKb%2BhA2R3L7,--,--,523,50
40,09:31,Y,29,20300303,0,正常车次，不受控,0,0614,12,青岛,QDK,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,09:08,20161229,G230,14,苏州北,02,OHH,,5l0000G23020,3,2,--,--,--,O0M090,YhdWPeTlLwFM8EHBmi5VpLLWgiWIgqTmsfjnjGuKAJgJHCwL,--,--,149,2
41,10:19,Y,29,20300303,0,正常车次，不受控,0,0110,05,长春,CCT,上海,01,SHH,--,--,0,01:03,63,H3,,--,4,--,1430,W3431333,1413,0712,33,上海,SHH,09:16,20161229,K516,--,苏州,03,SZH,,550000K51680,3,2,--,12,--,10401030,cTKHY9wrvyQ4gijBoONcxvPyZz9qRrhulMPdiLetWnLHDGOoC3Fz6yX1%2FJk%3D,96,138,--,--
42,09:44,Y,29,20300303,0,正常车次，不受控,0,1314,14,武昌,WCN,上海虹桥,01,AOH,--,--,1,00:28,28,H3,,--,--,--,1330,O3M3W3,OMO,0712,33,上海虹桥,AOH,09:16,20161229,D3022,--,苏州,02,SZH,动车,5l000D302240,3,2,--,96,--,O0M0O0,lfViRZmRVvS61peywEaSsRHVeJY2NCU2aydKBTAjAVm4XdDm,--,--,91,13
43,09:52,Y,29,20300303,0,正常车次，不受控,0,0709,07,无锡,WXH,上海,01,SHH,--,--,1,00:33,33,H3,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,09:19,20161229,G7202,--,苏州,03,SZH,,55000G720280,3,3,--,无,--,O0M0O0,w3PJ2yTkL2exRa9IOeKvEwfK55vW29DBBQUPH%2FltuLrjiUkj,--,--,531,39
44,10:25,Y,29,20300303,0,正常车次，不受控,0,2302,26,银川,YIJ,上海,01,SHH,--,--,0,01:02,62,H3,,--,17,--,1430,W3431333,1413,0712,33,上海,SHH,09:23,20161229,K360,--,苏州,03,SZH,,550000K36071,3,2,--,无,--,10401030,trIXqxMjyA5tz9fTzscYNQHIcL32r5fa%2F8%2FtAHbonLp7FvyGSwxh8wPQXxA%3D,67,185,--,--
45,10:00,Y,29,20300303,0,正常车次，不受控,0,0809,09,合肥南,ENH,上海虹桥,11,AOH,--,--,1,00:33,33,H2,,--,--,--,1330,O393W3M3,O9MO,0917,08,江山,JUH,09:27,20161229,G7372,26,苏州,13,SZH,,56000G737212,3,3,--,无,--,O090M0O0,eJezDRsyW1uDLEmUV8yf%2BU3NDjw0OmXbNv3LF%2FxJb2hF1uBRsDJcLIdNlKM%3D,--,--,84,143
46,10:05,Y,29,20170119,0,正常车次，不受控,0,0816,09,安庆,AQH,上海虹桥,01,AOH,--,--,1,00:33,33,H1,,--,--,--,1330,O393M3W3,O9OM,0712,33,上海虹桥,AOH,09:32,20161229,G7132,20,苏州,03,SZH,,5l000G713290,3,3,--,无,--,O090O0M0,%2BPfFpjxxDsUYDoCYNn1qoPwR1%2BaDTfwpKnDY5k61CXOAVkcv49jqr%2FFZwXY%3D,--,--,68,1
47,10:10,Y,29,20300303,0,正常车次，不受控,0,0809,09,合肥南,ENH,上海虹桥,04,AOH,--,--,1,00:33,33,H1,,--,--,--,1330,O393W3M3,O9MO,0904,08,杭州东,HGH,09:37,20161229,G7564,26,苏州,06,SZH,,56000G756401,3,3,--,无,--,O090M0O0,BFSJB5cvHk58W98LEJY8pvHYr1CQjSKA01pYBMEtwizJKLtyq%2BNzfN%2BWhaU%3D,--,--,22,144
48,10:02,Y,29,20300303,0,正常车次，不受控,0,0034,06,哈尔滨西,VAB,上海虹桥,01,AOH,--,--,1,00:23,23,H2,,--,--,--,1330,O393M3,OM9,0712,33,上海虹桥,AOH,09:39,20161229,G1204,5,苏州北,02,OHH,,5l000G120422,3,2,--,--,--,O0M090,YCKxDCjmazwbWj0qssw5SjGq5%2FxwJv%2Bm9Uvj0RFfG83wSkDJ,--,--,283,15
49,10:30,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:42,42,H3,,--,--,--,1430,O3M3W3,OMO,0712,33,上海,SHH,09:48,20161229,G7040,--,苏州,04,SZH,,55000G704080,3,3,--,无,--,O0M0O0,pOf56XZLwlxmX4Z5HQs%2FfaCknyMdiZV442aPVG%2BeCJHYXUBP,--,--,533,49
50,11:30,Y,29,20300303,0,正常车次，不受控,0,0710,07,苏州,SZH,上海南,19,SNH,--,--,0,01:38,98,G2,,--,2,--,1530,W3431333,1413,1116,11,赣州,GZG,09:52,20161228,K470,--,苏州,21,SZH,,570000K4700C,3,2,--,506,--,10401030,9x9K2656GPeQxVM9fi2eMk00wtAifAfWrySfgJh3uoiwKcF%2BbpI7yRJ%2Bax0%3D,9,681,--,--
51,10:17,Y,29,20300303,0,正常车次，不受控,0,0357,31,北京南,VNP,上海虹桥,01,AOH,--,--,1,00:23,23,H1,,--,--,--,1330,O3M393,OM9,0712,33,上海虹桥,AOH,09:54,20161229,G118,无,苏州北,02,OHH,,5l0000G11830,3,2,--,--,--,O0M090,Q1JUrDsmkqqNE0jBufGYnOuFvQy7wUDm%2FU8zzdxQ%2Bjd5WsD%2F,--,--,151,35
52,10:25,Y,29,20300303,0,正常车次，不受控,0,0705,07,南京,NJH,上海,01,SHH,--,--,1,00:25,25,H2,,--,--,--,1430,O3M3W3P3,OOMP,0712,33,上海,SHH,10:00,20161229,G7008,--,苏州,02,SZH,,55000G700865,3,3,24,无,--,O0O0M0P0,uPVTo%2FA36YwWR%2F8%2F3NM7WAjwQ7yv2V9lZf%2FhyXxIl4jS68fceoz%2FIkJQjjA%3D,--,--,975,52
